chembl_id;organism;canonical_smiles;AUC /ng.hr.mL-1
CHEMBL6966;Rattus norvegicus;COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC;1458.0
CHEMBL69319;Rattus norvegicus;CN(C)C(=O)[C@]1(C)CO[C@@H](c2nc(-c3ccc(F)cc3)c(-c3ccnc(NCC4CC4)n3)[nH]2)OC1;276.0
CHEMBL68553;Rattus norvegicus;CC(C)C[C@@H](C(=O)N[C@H](C(=O)Nc1nccs1)C(C)(C)C)[C@H](C)N(O)C=O;957.0
CHEMBL68211;Rattus norvegicus;C[C@]1(C(=O)N2CCOCC2)CO[C@H](c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)OC1;247.0
CHEMBL68055;Mus musculus;CC1=C(c2ccc(O)cc2)[C@H](c2ccc(OCCN3CCCCC3)cc2)Oc2cc(O)ccc21;90.0
CHEMBL67911;Rattus norvegicus;COCCNc1nccc(-c2[nH]c([C@H]3OC[C@@](C)(C(=O)NCC4CC4)CO3)nc2-c2ccc(F)cc2)n1;121.0
CHEMBL67740;Rattus norvegicus;CCCCCNC(=O)C(Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c(CCO)c1)NC(C)=O;550.0
CHEMBL674;Rattus norvegicus;CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O;2960.0
CHEMBL67;Rattus norvegicus;COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O;920.0
CHEMBL655;Rattus norvegicus;Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2;2100.0
CHEMBL6514;Rattus norvegicus;Cc1c(C)c2c(c(C)c1OCc1ccccc1)CCC(C)(CN(C)CCOc1ccc(/C=C3\SC(=O)NC3=O)cc1)O2;27470.0
CHEMBL64934;Rattus norvegicus;O=C(O)C(=O)N(c1ccccc1C(=O)O)c1cccc2ccccc12;30600.0
CHEMBL64833;Rattus norvegicus;CCOC(=O)CCCC(=O)N1CCC2(CC1)CCN(c1ccc(C(=N)NO)cc1)C2=O;500.6
CHEMBL64719;Rattus norvegicus;CCOC(=O)CC(CC(=O)N1CCC2(CC1)CCN(c1ccc(C(=N)NO)cc1)C2=O)c1ccccc1;7.9
CHEMBL6471;Rattus norvegicus;Cc1c(C)c2c(c(C)c1O)CCC(C)(CN(C)CCOc1ccc(/C=C3\SC(=O)NC3=O)cc1)O2;44940.0
CHEMBL64709;Rattus norvegicus;CCOC(=O)CCNC(=O)N1CCC2(CC1)C(=O)N(c1ccc(C(=N)NO)cc1)C(=O)N2C;60.0
CHEMBL64391;Rattus norvegicus;CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O;343.0
CHEMBL641;Rattus norvegicus;CNCC[C@@H](Oc1ccccc1C)c1ccccc1;910.0
CHEMBL64;Mus musculus;NNC(=O)c1ccncc1;55340.0
CHEMBL63804;Mus musculus;O=C(Cc1cc[n+]([O-])cc1)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1;5000.0
CHEMBL638;Rattus norvegicus;C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F;19650.0
CHEMBL6370;Rattus norvegicus;Cc1ccc(Sc2cncc3sc(C(=O)O)cc23)cc1;2947.0
CHEMBL6322;Rattus norvegicus;CCN(CC)C(=O)OCC1CN(C(=O)c2cc(OC)c(OC)c(OC)c2)CCN1C(=O)c1cc(OC)c(OC)c(OC)c1;1828.0
CHEMBL6320;Rattus norvegicus;Cc1ccc([S+]([O-])c2cncc3sc(C(N)=O)cc23)cc1;1245.0
CHEMBL63094;Rattus norvegicus;CCOC(=O)COCC(=O)N1CCC2(CC1)CCN(c1ccc(C(=N)NO)cc1)C2=O;651.0
CHEMBL63011;Rattus norvegicus;CCOC(=O)CCNC(=O)N1CCC2(CC1)CC(=O)N(c1ccc(C(=N)NO)cc1)C2;95.6
