chembl_id;organism;canonical_smiles;PPB /%
CHEMBL4064216;Rattus norvegicus;CCc1c(-c2ccc(N3C[C@H]4[C@H](N)[C@H]4C3)cc2)[nH]c(=O)c(C(=O)O)c1O;88.0
CHEMBL4064207;Rattus norvegicus;COc1ccc(N2CCOCC2)c2sc(NC(=O)C3(C)CCC(C)(O)CC3)nc12;87.0
CHEMBL4063997;Rattus norvegicus;CCCn1c(Oc2cccnc2C)nc2nc(C3CCCC3)[nH]c2c1=O;77.0
CHEMBL4063870;Mus musculus;CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccncc4)cc23)CC[C@]1(C)N;69.0
CHEMBL4063636;Rattus norvegicus;NC(=O)C(=O)C(Cc1ccccc1)NC(=O)c1cccnc1-n1ccc(-c2ccc(F)cc2)n1;93.0
CHEMBL4063286;Rattus norvegicus;CCc1c(-c2ccc(N3CC4CCCNC4C3)cc2)[nH]c(=O)c(C(=O)O)c1O;73.0
CHEMBL4062603;Rattus norvegicus;NS(=O)(=O)c1ccc(-c2nc(NCc3ccccn3)c3c(-c4ccccc4)cccc3n2)cn1;99.5
CHEMBL4062567;Rattus norvegicus;O=C(O)c1cc(F)c2nc(N3C4CCC3CC(OCc3c(-c5ccccc5OC(F)(F)F)noc3C3CC3)C4)sc2c1;99.9
CHEMBL4062161;Rattus norvegicus;CCN1CCc2c(sc(NC(=O)Nc3ccc(Cl)cc3)c2C(N)=O)C1.Cl;94.1
CHEMBL4061747;Mus musculus;CCc1nc2ccc(C3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1;99.0
CHEMBL4061699;Mus musculus;O=C(O)CCc1cc(F)c(OCc2c(-c3ccc(Cl)cc3)noc2C(F)(F)F)c(F)c1;99.86
CHEMBL4061542;Rattus norvegicus;O=C(O)CCn1c(=O)oc2cc(OC3CC3)c(Cl)cc21;90.3
CHEMBL4061483;Mus musculus;CCCC[S+]([O-])c1sc2nc(-c3cccs3)cc(-c3ccccc3)c2c1N;99.98
CHEMBL4061128;Rattus norvegicus;N#Cc1ccc(Nc2nn([C@H]3COCC[C@@H]3C#N)cc2C(N)=O)cc1;81.0
CHEMBL4060984;Mus musculus;CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cc[nH]n4)cc23)CC[C@]1(C)N;49.0
CHEMBL4060870;Mus musculus;CCCC[S+]([O-])c1sc2nc(-c3nccs3)cc(-c3ccc(OCCO)cc3)c2c1N;99.0
CHEMBL4060763;Mus musculus;O=C1NCc2cc(-c3ccc(-c4cncc(NS(=O)(=O)c5ccc(F)cc5F)c4)s3)ccc21;99.7
CHEMBL4060121;Mus musculus;CCCC[S+]([O-])c1sc2nc(-c3nccs3)nc(-c3ccccc3)c2c1N;90.0
CHEMBL404736;Rattus norvegicus;CC(=O)N1C2C=C(CN3CCC(NC(=O)Nc4cc(F)cc(C(F)(F)F)c4)CC3)CC1CCC2;98.7
