chembl_id;organism;canonical_smiles;Vdss /L.kg-1
CHEMBL583035;Rattus norvegicus;O=C(N[C@@H](Cc1ccc(F)c(Br)c1)C(=O)O)c1ccc(I)cc1NS(=O)(=O)c1cccc2nsnc12;0.215
CHEMBL582857;Rattus norvegicus;COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3ccccc3OC)(N3C[C@H](O)C[C@H]3C(=O)N(C)C)c3cc(Cl)ccc32)c(OC)c1;2.8
CHEMBL579081;Rattus norvegicus;CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(OC3CCN(C(=O)OC)CC3)cc(-c3ccccc3)n2)CC1;0.58
CHEMBL578606;Mus musculus;CN1CCN(c2ccccc2C(=O)/C=C/c2ccc(/C=C/C(=O)NO)nc2)CC1;2.1
CHEMBL578413;Mus musculus;Cc1c(C#N)c(N)nc2c3c(sc12)NC(=O)CC3c1ccccc1Cl;2.5
CHEMBL577946;Mus musculus;CN1CCN(Cc2ccccc2C(=O)/C=C/c2cccc(/C=C/C(=O)NO)c2)CC1;20.1
CHEMBL577695;Rattus norvegicus;FC(F)(F)c1ccc(Nc2noc3c(C(F)(F)F)cccc23)cc1;7.0
CHEMBL577513;Mus musculus;CN1CCN(c2ccccc2C(=O)/C=C/c2cccc(/C=C/C(=O)NO)n2)CC1;13.9
CHEMBL576985;Rattus norvegicus;CNc1ncc2cc(-c3c(C)ccc4c(Nc5ccc6c(c5)NC(=O)C6(C)C)nccc34)ccc2n1;4.3
CHEMBL576257;Rattus norvegicus;Cc1cc(Nc2cnc(C#N)c(N[C@@H](C)c3ccc(F)cn3)n2)n[nH]1;2.2
CHEMBL576138;Rattus norvegicus;Cc1ccc(N(C)C(=O)c2c(-c3ccccc3Cl)noc2C)cc1Cl;40.0
CHEMBL575966;Rattus norvegicus;Cc1onc(-c2ccccc2Cl)c1C(=O)N(C)c1ccc(Cl)cc1;7.1
CHEMBL575298;Rattus norvegicus;Cn1ccc(Nc2ncnc3ccc(Oc4c(F)cccc4S(C)(=O)=O)cc23)n1;0.5
CHEMBL574853;Rattus norvegicus;Cc1nc(OC(F)F)c(C#N)cc1Nc1nc(Cl)cn([C@H](C)C2CC2)c1=O;11.0
CHEMBL574852;Rattus norvegicus;COC[C@H](C1CC1)n1cc(Cl)nc(Nc2cc(C)c(OC(F)F)nc2C)c1=O;15.0
CHEMBL574663;Rattus norvegicus;CO[C@H]1C[C@@H](CO[C@H]2CC[C@H](C(=O)O)CC2)N(C(=O)Cc2cc(Cl)c(NC(=O)c3cn(C)c4ccccc34)cc2Cl)C1;1.222
CHEMBL574613;Rattus norvegicus;CC[S@+]([O-])c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1;1.65
CHEMBL574588;Rattus norvegicus;Cc1ccc(-c2ccc3occ(-c4ccc([S@+](C)[O-])cc4)c3c2)o1;1.134
