chembl_id;organism;canonical_smiles;T1/2 /hr
CHEMBL2431538;Mus musculus;O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(/C=C/c2ccc(Cl)cc2)cc1F;0.8833
CHEMBL2431537;Mus musculus;O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(C#Cc2ccccc2)cc1F;1.733
CHEMBL2431536;Rattus norvegicus;Nc1ccc(-c2ccc(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)cc1;0.3167
CHEMBL2431535;Rattus norvegicus;O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(O)c(F)c2)cc1F;0.5333
CHEMBL2431534;Rattus norvegicus;O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(OCc3ccccc3)c(F)c2)cc1F;2.083
CHEMBL2431533;Mus musculus;N#Cc1cccc(-c2ccc(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)c1;0.3667
CHEMBL2431532;Mus musculus;COc1ccc(-c2ccc(C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)cc1F;0.2333
CHEMBL2431531;Rattus norvegicus;O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccc(F)c(F)c2)cc1F;0.3333
CHEMBL2431530;Mus musculus;Cl.O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(N2CCN(Cc3ccc(F)cc3)CC2)cc1F;0.3333
CHEMBL2431515;Rattus norvegicus;CCOC(=O)C1=C(Nc2ccc3ccccc3c2)SCC1=O;0.3
CHEMBL243150;Rattus norvegicus;CN1CCN(S(C)(=O)=O)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C;0.8
CHEMBL2431496;Rattus norvegicus;CCOC(=O)C1=C(Nc2ccc3ccccc3c2)OCC1=O;0.26
CHEMBL2431365;Rattus norvegicus;COc1c(/C=C/c2ccc(NS(C)(=O)=O)cc2)cc(-c2cc(F)c[nH]c2=O)cc1C(C)(C)C;5.3
CHEMBL2431146;Rattus norvegicus;Cl.O=C1C2CCCN2C(=O)N1CCCCNCCOc1ccccc1;0.1667
CHEMBL2431120;Mus musculus;COc1cc2nc(C3CC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC;1.93
CHEMBL2431090;Rattus norvegicus;Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O;1.39
CHEMBL2431079;Rattus norvegicus;Cc1noc2c1-c1sc(C)c(C)c1C(c1ccc(C#N)cc1)=N[C@H]2CC(N)=O;0.393
CHEMBL2431051;Rattus norvegicus;CCOc1ccccc1OCCNCCCCN1C(=O)C2CCCN2C1=O.Cl;0.2183
CHEMBL2431048;Rattus norvegicus;COc1ccccc1OCCNCCCCN1C(=O)C2CCCN2C1=O.Cl;0.1617
CHEMBL2431042;Rattus norvegicus;CCc1ccccc1OCCNCCCCN1C(=O)C2CCCN2C1=O.Cl;0.1783
CHEMBL2431038;Rattus norvegicus;Cl.O=C1C2CCCN2C(=O)N1CCCCNCCOc1cccc2ccccc12;0.135
CHEMBL2430983;Rattus norvegicus;Cn1nc(-c2ccncc2)cc1NC(=O)[C@H](Cc1ccccc1)NCC(=O)O;4.1
CHEMBL2430727;Rattus norvegicus;Cc1ccc(C(=O)O)cc1-c1cnc(N)c(N[C@H](C)c2ccc(Cl)cc2)n1;2.8
CHEMBL243068;Rattus norvegicus;COC(=O)c1cc(/C(=C\CCc2nnc(C)o2)c2cc(C)c3onc(OC)c3c2)cc(C)c1OC;5.517
CHEMBL243067;Rattus norvegicus;COC(=O)c1cc(/C(=C\CCc2nnc(C)o2)c2cc(C)c3on(C)c(=O)c3c2)cc(C)c1OC;3.658
CHEMBL243066;Rattus norvegicus;COC(=O)c1cc(/C(=C\CCc2nnc(C)o2)c2ccc(C#N)cc2)cc(C)c1OC;0.75
CHEMBL2430319;Rattus norvegicus;CCc1ccc(Cc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3ccccc23)cc1;3.0
CHEMBL2430315;Rattus norvegicus;CCc1ccc(Cc2ccccc2N[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1;0.58
CHEMBL2429886;Rattus norvegicus;O=C(N[C@@H](Cc1c[nH]c2ccc(OCc3ccccc3)cc12)C(=O)Nc1ccncc1)C1CCCCC1;0.05
CHEMBL2429885;Mus musculus;O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)c1ccc(-c2ccccc2)cc1;0.3833
CHEMBL242956;Rattus norvegicus;CCOC1OC(=O)C[C@@H]1NC(=O)CN1CC(CNC(=O)c2ccc(OC)cc2)=CC[C@H](NC(=O)c2ccc3ccccc3c2)C1=O;7.1
CHEMBL242927;Mus musculus;O=C(O)C[C@H](NC(=O)CNC(=O)c1cccc(NC2=NCC(O)CN2)c1)c1cc(Cl)cc(Cl)c1O;1.5
CHEMBL242886;Rattus norvegicus;Cc1ccc(O)c(Cn2c(NC3CCN(CCO)CC3)nc3c(C)cccc32)n1;29.0
CHEMBL242885;Rattus norvegicus;Cc1ccc(O)c(Cn2c(NC3CCN(CC(O)CN(C)C)CC3)nc3c(C)cccc32)n1;556.0
CHEMBL242845;Rattus norvegicus;COC(=O)c1cc(/C(=C\CCc2nnc(C)o2)c2cc(C)c(OC)c(C(=O)SC)c2)cc(C)c1OC;1.3
CHEMBL242844;Rattus norvegicus;COC(=O)c1cc(C(=CCCc2nnc(C)o2)c2cc(C)c(OC)c(C(=O)OC)c2)cc(C)c1OC;0.055
CHEMBL242843;Rattus norvegicus;COC(=O)c1cc(/C(=C\CCc2nnn(C)n2)c2cccc(C#N)c2)cc(C)c1OC;0.7
CHEMBL242833;Rattus norvegicus;CONC(=O)[C@H](C)c1ccc(OS(=O)(=O)C(F)(F)F)cc1;1.0
CHEMBL242832;Rattus norvegicus;C[C@@H](C(=O)N(C)O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1;1.0
CHEMBL242813;Rattus norvegicus;N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(F)c(F)c1;1.8
CHEMBL242717;Mus musculus;O=C(O)C[C@@H](NC(=O)CNC(=O)c1cccc(NC2=NCC(O)CN2)c1)c1cc(Cl)cc(Cl)c1O;1.2
CHEMBL242716;Mus musculus;O=C(O)C[C@H](NC(=O)CNC(=O)c1cc(O)cc(NC2=NCC(O)CN2)c1)c1cc(Cl)cc(Cl)c1O;2.9
CHEMBL242671;Rattus norvegicus;Cc1ccc(O)c(Cn2c(NC3CCN(CCC(N)=O)CC3)nc3c(C)cccc32)n1;46.0
CHEMBL242670;Rattus norvegicus;CNS(=O)(=O)CCCN1CCC(Nc2nc3c(C)cccc3n2Cc2nc(C)ccc2O)CC1;32.0
CHEMBL2426616;Rattus norvegicus;CN1CCc2nc(COc3ccccc3)sc2C1=O;0.18
CHEMBL2426573;Mus musculus;CCCc1sc(-c2ccc(OC)c(OCC(C)(C)O)c2)nc1CSc1nc(N)cc(N)n1;0.5
CHEMBL242655;Rattus norvegicus;CCOCCOCCOCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2;0.65
CHEMBL242620;Mus musculus;COc1cccc(C2SC(c3ccc(F)cc3)=NN2C(=O)c2c(F)cc(F)cc2F)c1OC;4.5
CHEMBL2426174;Mus musculus;N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1-c1cn[nH]c1;1.333
CHEMBL242617;Rattus norvegicus;COc1cc(/C=C/C#N)cc(Cl)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1;3.83
CHEMBL2426168;Mus musculus;O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1;1.333
CHEMBL242616;Rattus norvegicus;Cc1cc(/C=C/C#N)cc(Cl)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1;3.54
CHEMBL2425893;Rattus norvegicus;CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccc(Cl)cc3n2)c1=O;5.65
CHEMBL2425886;Rattus norvegicus;CC#CCn1c(N2CCC[C@@H](N)C2)cc(=O)n(Cc2ccc3ccccc3n2)c1=O;4.2
CHEMBL2425628;Rattus norvegicus;CS(=O)(=O)CCCOc1cccc2c1ccn2-c1ccnc(N[C@H]2CC[C@H](C(=O)N3CCC(O)CC3)CC2)n1;2.9
CHEMBL242558;Rattus norvegicus;COc1ccc(Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1;1.09
CHEMBL2425242;Rattus norvegicus;O=C(OCCN(CCCl)CCCl)C1=CN(c2ccc([N+](=O)[O-])cc2)C=CC1;1.2
CHEMBL2425241;Rattus norvegicus;O=C(OCCN(CCCl)CCCl)C1=CN(c2ccccc2)C=CC1;0.8833
CHEMBL2425240;Rattus norvegicus;CCN1C=CCC(C(=O)OCCN(CCCl)CCCl)=C1;0.3833
CHEMBL242509;Rattus norvegicus;O=C(CN1CC=CC[C@H](NC(=O)c2ccc3ccccc3c2)C1=O)N[C@H]1CC(=O)OC1O;0.2
CHEMBL2425070;Rattus norvegicus;N[C@H]1C[C@@H](N2Cc3cn[nH]c3C2)CO[C@@H]1c1cc(F)ccc1F;6.3
CHEMBL2424928;Mus musculus;O=c1ccc2ncc(F)c3c2n1C[C@@]3(O)CN1CCC(NCc2cc3c(cn2)OCCO3)CC1;3.1
CHEMBL2424883;Rattus norvegicus;COc1ccc2nccc(CC[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1;1.2
CHEMBL2424877;Rattus norvegicus;COc1ccc2ncc(F)c([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCS5)CO3)c2n1;3.0
CHEMBL2424836;Rattus norvegicus;COc1cnc2cccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1;5.9
CHEMBL2424780;Mus musculus;CCCCOc1nc(N)c2c(n1)N(Cc1cccc(CN3CCCC3)c1)CC(=O)N2;0.08167
CHEMBL242458;Rattus norvegicus;Cc1ccc(O)c(Cn2c(NC3CCN(CCN)CC3)nc3ccccc32)n1;211.0
CHEMBL242456;Rattus norvegicus;Cc1ccc(O)c(Cn2c(NC3CCN(CCN)CC3)nc3c(C)cccc32)n1;153.0
CHEMBL242137;Rattus norvegicus;CN1C[C@H](O)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C;1.8
CHEMBL242004;Rattus norvegicus;Cc1ccc(NC(=O)C(C)C)cc1C1CCN(Cc2ccc(Oc3ccc(F)c(F)c3)cc2)CC1;5.2
CHEMBL2419706;Mus musculus;COc1ccc(C(=O)C2CCN(CC(=O)N(Cc3nc4c(c(=O)[nH]3)COCC4)CC3CC3)CC2)cc1;1.3
CHEMBL2419515;Mus musculus;Cc1ccc(S(=O)(=O)c2ccc(CNC(=O)N3Cc4ccncc4C3)cc2)cn1;1.85
CHEMBL2419440;Mus musculus;CCc1nnc(-c2ccc(-c3ccccc3)nc2)n1-c1cccc(C#N)c1C;0.22
CHEMBL2419402;Rattus norvegicus;COc1cc(O)cc2oc(=O)c(N3CCN(C)CC3)c(C)c12;0.1086
CHEMBL2419044;Rattus norvegicus;Cc1ccccc1N1CC(C)(C)N([C@H]2CNC[C@@H](C(=O)N[C@H](CC(C)C)c3ccc(F)cn3)C2)CC1=O.O=C(O)/C=C/C(=O)O;5.4
CHEMBL2419038;Rattus norvegicus;O=c1nc(N2CCC3(CC2)SCCS3)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12;2.5
CHEMBL2418996;Rattus norvegicus;NC(CCCCB(O)O)(C(=O)O)C1CCN(Cc2ccc(Cl)c(Cl)c2)CC1;7.83
CHEMBL2418954;Rattus norvegicus;CC(=O)Nc1cn2cc(-c3cnc(N)c(C(F)(F)F)c3)ccc2n1;3.0
CHEMBL2418946;Rattus norvegicus;CC(=O)Nc1nc2ccc(-c3ccc(N)nc3)cc2s1;2.5
