chembl_id,organism,canonical_smiles,IC50 /nM
CHEMBL610628,Mus musculus,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C(C)(C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C(=O)O)C(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL610627,Mus musculus,C=CCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCC=C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL610496,Rattus norvegicus,Brc1cccc2c1[nH]c1c[n+](Cc3ccccc3)ccc12.[Br-],28700.0
CHEMBL610488,Mus musculus,CSc1ccc(C2=C(c3ccc(F)cc3)C(=O)NC2=O)cc1,121220.0
CHEMBL610196,Mus musculus,O=C1NC(=O)C(c2cc(O)c(O)c(O)c2)=C1c1ccccc1,261450.0
CHEMBL610,Mus musculus,NCCc1ccccc1,3000.0
CHEMBL61,Rattus norvegicus,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,17.0
CHEMBL609912,Rattus norvegicus,Brc1ccc2[nH]c3c[n+](Cc4ccccc4)ccc3c2c1.[Br-],61600.0
CHEMBL609753,Mus musculus,C=CCCC[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCC=C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL609575,Rattus norvegicus,c1ccc2c(c1)cnc1[nH]ccc12,118700.0
CHEMBL609572,Mus musculus,CSc1ccc(C2=C(c3ccccc3)C(=O)OC2=O)cc1,194770.0
CHEMBL609471,Mus musculus,CC(C)[C@@H](NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](C)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](N)CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](Cc1ccccc1)C(=O)O,160000.0
CHEMBL609302,Mus musculus,C=CCCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](CCCCC=C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL609301,Mus musculus,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CC(C(=O)O)C(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL608989,Rattus norvegicus,Cn1ccc2nccc-2c1,680000.0
CHEMBL608732,Rattus norvegicus,COC(=O)CCC[n+]1ccc2c(c1)[nH]c1ccc(Cl)cc12.[Br-],207100.0
CHEMBL608415,Mus musculus,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(C(=O)O)C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)C(C)(C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL608414,Mus musculus,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCC/C=C\CCC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL608413,Mus musculus,C=CCCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1)C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](CCCCC=C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CCC(N)=O)C(=O)N[C@H](CCCCN)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)O,160000.0
CHEMBL60796,Rattus norvegicus,Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,100.0
CHEMBL607853,Rattus norvegicus,C=CC[n+]1ccc2c(c1)[nH]c1ccc(Br)cc12.[Br-],130900.0
CHEMBL607807,Mus musculus,COc1ccc(C2=C(c3ccc(SC)cc3)C(=O)OC2=O)cc1,266080.0
CHEMBL607530,Rattus norvegicus,Cn1cc2ccccc2c2c3ccccc3nc1-2,1300.0
CHEMBL607136,Rattus norvegicus,CC(=O)Nc1ccc(C2N[C@H](C(=O)Nc3nc4ccccc4s3)CS2)cc1,20000.0
CHEMBL606211,Rattus norvegicus,CCCCCCCCC/C=C/CCCCCCCNC(=O)[C@@H]1CSC(c2ccccc2)N1,8900.0
CHEMBL604909,Mus musculus,CC(C)[C@]12O[C@H]1[C@@H]1O[C@@]13[C@H]1CCC4=C(COC4=O)[C@@H]1C[C@@H]1O[C@@]13[C@@H]2OC(=O)CNCCO,10400.0
CHEMBL604690,Mus musculus,C[S+]([O-])c1ccc(C2=C(c3ccc(O)cc3)C(=O)NC2=O)cc1,212890.0
CHEMBL604678,Mus musculus,COc1ccc(C2=C(c3ccccc3)C(=O)OC2=O)cc1OC,257400.0
CHEMBL604518,Rattus norvegicus,CCCCCCCCCCCCCCCCNC[C@@H]1CSC(c2ccc(NC(C)=O)cc2)N1,7900.0
CHEMBL604381,Mus musculus,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H]1CCC/C=C\CCC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O,160000.0
CHEMBL604380,Mus musculus,CC.CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCCC/C=C\CCCC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2)C(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)O.O,160000.0
CHEMBL604318,Rattus norvegicus,CCCCCCCCCCCCCCCCCCNC(=O)[C@@H]1CSC(c2ccccc2)N1,20000.0
CHEMBL603889,Rattus norvegicus,CCCCCCCCC/C=C\CCCCCCCNC(=O)[C@@H]1CSC(c2cc(OC)c(OC)c(OC)c2)N1,8400.0
CHEMBL603856,Mus musculus,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)NC2=O)cc1,268740.0
CHEMBL603822,Rattus norvegicus,COc1ccc(S(=O)(=O)N2c3ccccc3CCC2C)cc1,5990.0
CHEMBL603619,Mus musculus,NCCCCCCNc1nc2ccccc2c2[nH]c3ccccc3c12,1070.0
CHEMBL603616,Rattus norvegicus,CCCCCCCCCCCCCCCCNC[C@@H]1CSC(c2ccccc2)N1,6200.0
