chembl_id;organism;canonical_smiles;LD50 /mg.kg-1
CHEMBL1631194;Rattus norvegicus;COc1cccc(-n2nnc3sc4c(c3c2=O)CCCC4)c1;124.0
CHEMBL1631193;Rattus norvegicus;COc1cccc(NC(=O)c2c(N)sc3c2CCCC3)c1;121.0
CHEMBL163098;Mus musculus;O=C(Cn1ccnc1)c1ccc(O)cc1;750.0
CHEMBL1630960;Mus musculus;Cc1ccc(-n2cc3c(-c4nn(-c5ccccc5)c(-c5ccccc5)c4C#N)nnc(-c4ccccc4)c3n2)cc1;452.81
CHEMBL1630959;Mus musculus;N#Cc1c(-c2nnc(-c3ccccc3)c3nn(-c4ccccc4)cc23)nn(-c2ccccc2)c1-c1ccccc1;131.9
CHEMBL1630958;Mus musculus;Cc1ccc(-n2cc(C(=O)c3nn(-c4ccccc4)c(-c4ccccc4)c3C#N)c(C(=O)c3ccccc3)n2)cc1;452.81
CHEMBL163079;Mus musculus;O=C(Cn1ccnc1)c1ccc(C2CCCCC2)cc1;3000.0
CHEMBL163059;Mus musculus;COc1cccc(-c2nc3ccccc3[nH]2)n1;300.0
CHEMBL1630577;Mus musculus;CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2;19.0
CHEMBL1630334;Mus musculus;N#C[Se]CCCCCN1C(=O)c2cccc3c(N)ccc(c23)C1=O;1000.0
CHEMBL1630333;Mus musculus;N#C[Se]CCCCCN1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O;1000.0
CHEMBL1630332;Mus musculus;N#C[Se]CCCCCN1C(=O)c2cccc3c(Cl)ccc(c23)C1=O;1000.0
CHEMBL1630331;Mus musculus;N#C[Se]CCCCCN1C(=O)c2cccc3cccc(c23)C1=O;1000.0
CHEMBL163027;Mus musculus;O=C(Cn1ccnc1)c1cccc(-c2ccccc2)c1;210.0
CHEMBL1630213;Mus musculus;Cc1cn([C@H]2CNC[C@@H](COP(=O)(N(C)C)N3C[C@@H](COP(=O)(N(C)C)N4C[C@@H](COP(=O)(N(C)C)N5C[C@@H](COP(=O)(N(C)C)N6C[C@@H](COP(=O)(N(C)C)N7C[C@@H](COP(=O)(N(C)C)N8C[C@@H](COP(=O)(N(C)C)N9C[C@@H](COP(=O)(N(C)C)N%10C[C@@H](COP(=O)(N(C)C)N%11C[C@@H](COP(=O)(N(C)C)N%12C[C@@H](COP(=O)(N(C)C)N%13CCN(C(=O)CCNC(=O)CCCCCNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc%14ccccc%14)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)NC(=O)[C@H](Cc%14ccccc%14)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)NC(=O)[C@H](Cc%14ccccc%14)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)NC(=O)[C@H](Cc%14ccccc%14)NC(=O)[C@@H](N)CCCNC(=N)N)CC%13)O[C@@H](n%13cc(C)c(=O)[nH]c%13=O)C%12)O[C@@H](n%12ccc(N)nc%12=O)C%11)O[C@@H](n%11cc(C)c(=O)[nH]c%11=O)C%10)O[C@@H](n%10ccc(N)nc%10=O)C9)O[C@@H](n9cnc%10c(N)ncnc%109)C8)O[C@@H](n8cnc9c(=O)[nH]c(N)nc98)C7)O[C@@H](n7cnc8c(N)ncnc87)C6)O[C@@H](n6cc(C)c(=O)[nH]c6=O)C5)O[C@@H](n5cnc6c(=O)[nH]c(N)nc65)C4)O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)C3)O2)c(=O)[nH]c1=O;210.0
CHEMBL162974;Mus musculus;COc1ccc2[nH]c(-c3cccc(C)n3)nc2c1;3732.0
CHEMBL162942;Mus musculus;CCN(CC)C(=S)SC/C(=N\c1ccc(C)cc1)Nc1ccc(C)cc1;970.0
CHEMBL162941;Mus musculus;CCN(CC)C(=S)SC/C(=N\c1ccccc1)Nc1ccccc1;840.0
CHEMBL1628227;Mus musculus;CN(C)CCC=C1c2ccccc2COc2ccccc21;50.0
CHEMBL162817;Mus musculus;O=C(CCn1ccnc1)c1ccc(-c2ccccc2)cc1;360.0
CHEMBL162801;Mus musculus;CC(Cn1ccnc1)C(=O)c1ccc(-c2ccccc2)cc1;130.0
CHEMBL162777;Mus musculus;CCN(CC)C(=S)SC/C(=N\c1ccc(C)cc1)Nc1ccc(OC)cc1;970.0
CHEMBL162744;Mus musculus;CC(C)(C)c1ccc(C(=O)Cn2ccnc2)cc1;100.0
CHEMBL162571;Mus musculus;CCN(CC)CCCOc1ccccc1O/C(=C/c1ccccc1)C(C)=O;95.0
CHEMBL162549;Mus musculus;O=C(Cn1ccnc1)c1ccc([N+](=O)[O-])cc1;360.0
CHEMBL162541;Mus musculus;COc1ccc(NC(=O)CC23CCCN2CCC3)cc1;288.0
CHEMBL162519;Mus musculus;CC(=O)Nc1ccc(C(=O)Cn2ccnc2)cc1;1000.0
CHEMBL162492;Mus musculus;CCc1cccc(CC)c1NC(=O)CC12CCCN1CCC2;278.0
CHEMBL162482;Rattus norvegicus;CS(=O)(=O)CC(=O)/C=N/O;198.0
CHEMBL162431;Mus musculus;Nc1ccc(C(=O)Cn2ccnc2)cc1;360.0
