organism,chembl_id,canonical_smiles,T1/2 /hr,F /%,AUC /ng.hr.mL-1,Cmax /ug.mL-1,Vdss /L.kg-1,CL /mL.min-1.kg-1,LD50 /mg.kg-1
Rattus norvegicus,CHEMBL594034,Cc1oc(-c2ccccc2)nc1CCCc1ccc(C[C@@H](C(=O)O)n2nccn2)cc1,7.5,42.0,928.0,3.55,2.9,18.0,87.00
Rattus norvegicus,CHEMBL593277,O=C([O-])CCc1ccc(Cn2cccn2)cc1OCCc1ccc2ccccc2c1.[Na+],2.93,53.0,22900.0,8.32,0.538,2.77,122.0
Rattus norvegicus,CHEMBL593205,CCCCN1C(=O)[C@H](CC2CCCCC2)NC(=O)C12CCN(CCc1cccc(Oc3ccc(C(=O)O)cc3)c1)CC2.Cl,0.8067,34.1,10532.0,7.2,0.145,16.0,199.0
Rattus norvegicus,CHEMBL592765,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cc(F)cc(Cl)c2)C1,7.2,13.1,166.0,0.054,38.0,41.0,1000.0
Rattus norvegicus,CHEMBL592763,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(=O)OC)c2cccc(Cl)c2)C1,1.8,0.3,10.0,0.005,29.0,34.0,121.1
Rattus norvegicus,CHEMBL592762,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(F)c2)C1,12.7,22.1,380.0,0.123,61.0,58.0,999.1
Mus musculus,CHEMBL592646,CCCCC(C(=O)COc1c(F)c(F)cc(F)c1F)n1cc([C@@](C)(NCc2ccc3ncccc3c2)C2CCCC2)nn1,3.0,23.0,8096.0,6.55,5.4,19.0,343.6
Rattus norvegicus,CHEMBL591578,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCNC(=O)OC)c2cccc(Cl)c2)C1,9.7,9.0,301.0,0.094,19.0,36.0,886.0
Rattus norvegicus,CHEMBL591118,COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](N3C[C@@H](CF)CC3=O)CN1CC2,5.3,28.0,233.0,0.5,6.3,24.0,455
Mus musculus,CHEMBL590958,CC(=O)c1ccc(Nc2c3ccccc3nc3occc23)cc1,0.3,2.1,211.0,3.064,1.2,158.0,677
Rattus norvegicus,CHEMBL590593,C[C@H](O)C(=O)N1CC[C@H](N(Cc2cc(Cl)ccc2Cl)c2ccc(C#N)c(Cl)c2)C1,1.1,100.0,122.4,0.134,10.0,150.0,899
Rattus norvegicus,CHEMBL590069,CCCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CC[C@@H](OCC(=O)N(CC)CC)C3)cc(-c3ccccc3)n2)CC1,0.3,22.0,344.2,1.22,2.1,87.0,232
Rattus norvegicus,CHEMBL589908,O=C(c1ccc(Cn2ccc3cccc(Cl)c32)cc1)N1CC[C@H](N2CCCC2)C1,1.9,5.0,63.0,0.022,7.3,112.0,656
Mus musculus,CHEMBL589766,CC(C)OC(=O)C1=CN(C(=O)c2ccc(OCCCN3CCOCC3)cc2)CC(C)(C)c2c1[nH]c1cc(F)ccc21,6.3,21.0,370.0,0.081,0.9,52.0,97
Rattus norvegicus,CHEMBL589305,COc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,2.09,77.0,1225.0,0.165,0.9,14.0,100.0
Mus musculus,CHEMBL584052,O=C1Nc2ccccc2-c2ccnc3[nH]cc(c23)C1c1ccc(O)cc1,2.7,66.1,12500.0,1.0,2.3,12.1,45
Rattus norvegicus,CHEMBL583253,CCCc1cc(=O)oc2c3c(c4c(c12)OC(C)(C)C=C4)OC(CCl)CC3=O,3.8,32.7,4700.0,0.34,3.2,25.6,108.0
Rattus norvegicus,CHEMBL583042,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,3.0,67.0,1600.0,0.99,3.4,55.0,455
Mus musculus,CHEMBL580059,Cc1[nH]c(C)c(-c2ccc(OCc3ccc(OC(F)(F)F)cc3)nc2)c(=O)c1Cl,5.32,11.0,5600.0,0.3,4.6,2.74,12
Mus musculus,CHEMBL578606,CN1CCN(c2ccccc2C(=O)/C=C/c2ccc(/C=C/C(=O)NO)nc2)CC1,2.3,6.3,1397.0,0.4,2.1,59.67,35
Mus musculus,CHEMBL577946,CN1CCN(Cc2ccccc2C(=O)/C=C/c2cccc(/C=C/C(=O)NO)c2)CC1,8.27,3.1,849.0,1.44,20.1,98.0,64
Mus musculus,CHEMBL577513,CN1CCN(c2ccccc2C(=O)/C=C/c2cccc(/C=C/C(=O)NO)n2)CC1,8.6,2.9,1898.0,2.32,13.9,44.0,90
Rattus norvegicus,CHEMBL576982,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,4.38,48.0,14467.0,0.9,5.1,7.11,434.0
Rattus norvegicus,CHEMBL574663,CO[C@H]1C[C@@H](CO[C@H]2CC[C@H](C(=O)O)CC2)N(C(=O)Cc2cc(Cl)c(NC(=O)c3cn(C)c4ccccc34)cc2Cl)C1,1.5,100.0,975.0,0.385,1.222,19.3,37.0
Rattus norvegicus,CHEMBL574613,CC[S@+]([O-])c1ccc(-c2coc3ccc(-c4ccc(C)o4)cc23)cc1,1.2,65.5,1229.1,0.2896,1.65,28.4,120.0
Rattus norvegicus,CHEMBL574588,Cc1ccc(-c2ccc3occ(-c4ccc([S@+](C)[O-])cc4)c3c2)o1,2.1,72.8,1380.0,0.3969,1.134,27.4,132.5
Rattus norvegicus,CHEMBL574128,CC(=O)O[C@H]1CC2=C([C@H](C)C[C@H](OC(C)=O)[C@@H](OC(C)=O)C(C)(C)OC(C)=O)CC[C@]2(C)[C@@]2(C)CC[C@H]3C(C)(C)C(=O)CC[C@]3(C)[C@H]12,1.63,40.9,1045.0,0.383,5.73,64.5,227.0
Rattus norvegicus,CHEMBL573829,Cc1nc2ccc(NCc3cccc(C(F)(F)F)c3)cc2n(CCNC(=O)CO)c1=O,0.95,78.0,148.0,0.374,3.0,88.1,81.0
Rattus norvegicus,CHEMBL573677,C[C@H](CCOc1cccc(CC(=O)O)c1)N(Cc1cccc(C(F)(F)F)c1Cl)CC(c1ccccc1)c1ccccc1,1.817,71.0,500.1,2.126,1.9,23.7,936.0
Mus musculus,CHEMBL573,O=C(O)c1cccnc1,0.02,100.0,6980.0,0.369,1.0,167.0,80.0
Rattus norvegicus,CHEMBL572056,CC[C@]1(C)C[C@@H](OC(=O)NC(=O)c2ccc(OP(=O)([O-])[O-])cc2)[C@@]2(C)[C@H]3C(=O)CC[C@@]3(CC[C@H]2C)[C@@H](C)[C@@H]1O.[Na+].[Na+],0.51,34.5,1290.0,3.5,3.9,76.0,54.2
Rattus norvegicus,CHEMBL571581,Cc1c(Nc2c(C#N)cncc2-c2cc3cc(CN4CCN(C)CC4)ccc3o2)ccc2[nH]ccc12,0.45,35.0,1140.0,0.108,1.2,55.0,7.9
Rattus norvegicus,CHEMBL571278,C#Cc1cccc(Nc2nccc3c(Nc4ncccc4-c4cc(NC)ncn4)c(C)ccc23)c1,2.8,76.0,9414.0,4.5,2.2,12.17,100.0
Mus musculus,CHEMBL571104,CN1CCN(c2cccc(C(=O)/C=C/c3cccc(/C=C/C(=O)NO)n3)c2)CC1,8.5,2.0,1506.0,3.2,18.3,55.33,433.0
Rattus norvegicus,CHEMBL571000,O=CNCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,0.5,2.0,144.0,0.089,0.2,12.0,323.5
Rattus norvegicus,CHEMBL570867,Cc1cc2cc(N/C(=N\C(=O)c3ccc(C(=O)N(C)C)nc3)N[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)ccc2o1,1.6,55.0,232.9,2.2,3.3,27.0,400.0
Rattus norvegicus,CHEMBL570667,NCC1CCN(c2nccc(-c3ccc4ccccc4c3)n2)CC1,8.2,78.0,1029.0,0.277,22.0,32.0,422.0
Rattus norvegicus,CHEMBL570573,CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Nc4ccc5sc(C)nc5c4)nccc23)ncn1,2.9,100.0,12300.0,0.6,0.72,5.5,56.0
Mus musculus,CHEMBL570567,CNc1cc(-c2cccnc2Nc2c(C)ccc3c(Nc4ccc(C#N)cc4)nccc23)ncn1,2.7,100.0,52800.0,0.5,0.37,1.833,54.9
Rattus norvegicus,CHEMBL570295,CCCCOC(=O)N1CCN(C(=O)[C@H](CCC(=O)O)NC(=O)c2cc(N3CCC(C(=O)NCC)CC3)cc(-c3ccccc3)n2)CC1,0.001667,7.0,545.6,0.122,0.3,16.0,46.0
Mus musculus,CHEMBL570214,CN1CCN(Cc2ccc(C(=O)/C=C/c3ccc(/C=C/C(=O)NO)nc3)cc2)CC1,9.7,5.5,1052.0,0.504,31.9,79.17,21.1
Mus musculus,CHEMBL569748,CN1CCN(Cc2cccc(C(=O)/C=C/c3ccc(/C=C/C(=O)NO)nc3)c2)CC1,6.7,3.9,736.0,0.6,28.4,113.0,2.5
Mus musculus,CHEMBL569716,CN1CCN(c2ccccc2C(=O)/C=C/c2ccc(/C=C/C(=O)NO)cc2)CC1,2.0,18.1,698.0,0.9,5.4,119.0,225.0
Mus musculus,CHEMBL569434,CCOc1ccc(Cc2cc([C@@H]3OC(OC)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,1.29,100.0,343.5,0.887,2.93,27.65,122.0
Mus musculus,CHEMBL569327,CN1CCN(Cc2ccccc2C(=O)/C=C/c2ccc(/C=C/C(=O)NO)nc2)CC1,5.55,4.5,1492.0,0.454,11.7,55.83,224.6
Mus musculus,CHEMBL568872,CN1CCN(Cc2ccc(C(=O)/C=C/c3cccc(/C=C/C(=O)NO)n3)cc2)CC1,7.3,2.6,2524.0,0.567,16.07,29.17,200.1
Rattus norvegicus,CHEMBL568580,CN1CCN(c2cc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3c2)CC1,4.5,12.0,4320.0,0.242,12.0,19.3,80.0
Rattus norvegicus,CHEMBL568138,COc1cnc2c(NCc3nnc4ccc(-c5cc(F)cc(F)c5)nn34)ccnc2c1,3.84,62.0,31100.0,0.330,0.201,0.7167,100.0
Rattus norvegicus,CHEMBL566248,CCC(C)(C)C(=O)Nc1cc(CN2CCOCC2)c(C)cn1,0.5,57.0,158.0,0.185,3.5,96.67,90.55
Rattus norvegicus,CHEMBL565632,CN(C)CCOc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc2c1,20.6,1.0,2694.0,0.0162,48.2,30.9,254.0
Rattus norvegicus,CHEMBL565612,CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,3.2,19.0,2208.0,0.622,6.5,45.0,601.2
Rattus norvegicus,CHEMBL565122,C[C@H](Cc1ccccc1)n1c(-c2ccccc2O)nc2ccnc(C(F)(F)F)c2c1=O,0.6,12.0,518.0,0.125,1.4,32.2,422.0
Rattus norvegicus,CHEMBL565022,CCN1C[C@@H](N(Cc2cc(Cl)ccc2Cl)c2ccc(C#N)c(Cl)c2)CC1=O,1.8,100.0,150.0,0.084,35.0,230.0,562.0
Mus musculus,CHEMBL564740,CCN(CC)c1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,0.7,51.0,1000.0,0.8,21.0,83.0,231.4
