chembl_id;organism;canonical_smiles;F /%
CHEMBL1814692;Rattus norvegicus;CCC(CC)(c1ccc(OCC(O)C(C)(C)C)c(C)c1)c1ccc(OC[C@@H](O)CCC(=O)O)c(C)c1;13.0
CHEMBL1814688;Rattus norvegicus;CCC(CC)(c1ccc(OCCCCC(=O)O)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1;33.0
CHEMBL1814268;Rattus norvegicus;CC(=O)O.O=C1CNC(=O)N1c1cccc(CCCCOCCCCCCNC[C@H](O)c2ccc(O)c(CO)c2)c1;2.0
CHEMBL1814190;Rattus norvegicus;Fc1cccc(F)c1C1C=C(c2ccc(Cl)cc2)Nc2ncnn21;42.0
CHEMBL1814165;Rattus norvegicus;Fc1cccc(Cl)c1C1CC(c2ccc(Cl)cc2)Nc2ncnn21;31.0
CHEMBL1813632;Mus musculus;O=C(Nc1ccc(Oc2ncnc3scc(-c4ccccc4)c23)c(F)c1)c1cccn(-c2ccc(F)cc2)c1=O;5.0
CHEMBL18136;Rattus norvegicus;N/C(=N\O)N1CCC(CNC(=O)[C@@H]2CC[C@H]3CN(S(=O)(=O)Cc4ccccc4)CC(=O)N32)CC1;0.5
CHEMBL181350;Rattus norvegicus;CCN(CC)c1ccc(NC(=O)C2(N(C)C(=O)OCC(C)C)CCc3cccc(OC)c3C2)cc1;19.0
CHEMBL1813460;Rattus norvegicus;CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)NC)cc3)cc1)CC2.Cl;1.9
CHEMBL1813459;Rattus norvegicus;CCCCN1C(=O)C(C(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccccc3)cc1)CC2.Cl;1.3
CHEMBL1813449;Rattus norvegicus;CCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)NC)cc3)cc1)CC2.Cl;11.2
CHEMBL1813436;Rattus norvegicus;CCCCN1C(=O)[C@@H]([C@H](O)C(C)C)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2.Cl;5.9
CHEMBL1813435;Rattus norvegicus;CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(NS(C)(=O)=O)cc3)cc1)CC2.Cl;5.0
CHEMBL1813432;Rattus norvegicus;CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)NC)cc3)cc1)CC2.Cl;10.0
