chembl_id;organism;canonical_smiles;Cmax /ug.mL-1
CHEMBL4062687;Rattus norvegicus;CN1CCN(Cc2cn(S(=O)(=O)c3ccccc3)c3ccccc23)CC1.Cl.Cl;1.225
CHEMBL4062640;Mus musculus;Cc1cc(C)cc(COc2ccc(CCC(=O)O)cc2C)c1;2.627
CHEMBL4062002;Mus musculus;[2H]C1([2H])CC([2H])([2H])C12C(=O)N(c1cnc(C#N)c(C(F)(F)F)c1)C(=S)N2c1ccc(C(=O)NC)c(F)c1;2.17
CHEMBL4061869;Rattus norvegicus;Cc1ccc(NC(=O)[C@H]2CC[C@H]3[C@@H]4CC[C@H]5OC(=O)CC[C@]5(C)[C@H]4CC[C@]23C)cc1;0.00689
CHEMBL4061699;Mus musculus;O=C(O)CCc1cc(F)c(OCc2c(-c3ccc(Cl)cc3)noc2C(F)(F)F)c(F)c1;12.67
CHEMBL4061654;Rattus norvegicus;CC(C)(C)[C@H](N)C(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1.Cl;18.6
CHEMBL4061616;Mus musculus;C[C@]1(COCc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCn2cc([N+](=O)[O-])nc2O1;2.0
CHEMBL4061488;Mus musculus;O=c1nc(N2CCC3(CCN(Cc4ccc(F)cc4)C3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12;1.234
CHEMBL4060998;Mus musculus;Cc1[nH]c(CO)c(-c2ccc(-c3ccc(OC(F)(F)F)cc3)nc2)c(=O)c1Cl;8.54
CHEMBL4060569;Mus musculus;COC[C@@H](NC(=O)N1CC(=O)Nc2cc(OC)cnc21)c1ccc(OC(F)(F)F)c(F)c1;0.0642
CHEMBL4060556;Rattus norvegicus;O=C(c1ccccc1)N1CCc2oc(-c3ccc(F)cn3)nc2C1;2.75
CHEMBL4060354;Rattus norvegicus;CC(c1cc2cc(-c3cnn(C)c3)cnc2cc1F)n1nnc2ncc(-c3ccc(C(N)=O)c(F)c3)nc21;0.0989
CHEMBL4060201;Rattus norvegicus;O=C(CCCCCCn1cc(-c2ncnc3[nH]ccc23)cn1)NO;0.0159
CHEMBL4060190;Rattus norvegicus;Cn1ccc(S(=O)(=O)N2CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@]3(C(=O)c3cc(C(F)(F)F)ccn3)C2)n1;0.51
CHEMBL4059955;Rattus norvegicus;C/C(=N\NC(=N)N)c1ccc(NC(=O)Nc2ccc(OC3CCCCCC3)cc2)cc1;0.01628
CHEMBL4059948;Rattus norvegicus;c1ccc(N2CCN(CCCN3CCN(c4ccccn4)CC3)CC2)nc1;0.52
CHEMBL4059831;Mus musculus;CC[C@@H](NC(=O)c1cnn2cc(C)cnc12)c1ccc(OC(F)(F)F)cc1;0.0448
